regions;iso3;deskStudy;name;year;boreal;temperate;tropical;subtropical;1a_forestArea;1a_otherWoodedLand;1a_landArea;1b_naturallyRegeneratingForest;1b_plantedForest;1b_plantationForest;1b_plantationForestIntroduced;1b_otherPlantedForest;1c_primary;1c_tempUnstocked;1c_bamboos;1c_mangroves;1c_rubber;1f_palms;1f_treeOrchards;1f_agroforestry;1f_other;1f_treesUrbanSettings;2a_gs_ha_nat_reg;2a_gs_ha_forest;2a_gs_ha_plantation;2a_gs_ha_planted;2a_gs_ha_owl;2a_gs_ha_other_planted;2a_gs_tot_nat_reg;2a_gs_tot_planted;2a_gs_tot_plantation;2a_gs_tot_other_planted;2a_gs_tot_forest;2a_gs_tot_owl;2b_native_#1;2b_native_#2;2b_native_#3;2b_native_#4;2b_native_#5;2b_native_#6;2b_native_#7;2b_native_#8;2b_native_#9;2b_native_#10;2b_native_remaining;2b_native_total;2b_introduced_#1;2b_introduced_#2;2b_introduced_#3;2b_introduced_#4;2b_introduced_#5;2b_introduced_remaining;2b_introduced_total;2b_total_gs;2c_agb;2c_bgb;2c_dwb;2d_carbon_agb;2d_carbon_bgb;2d_carbon_dw;2d_carbon_litter;2d_carbon_soil;2d_soil_depth_cm;3a_prim_prod;3a_prim_prot;3a_prim_biodiv;3a_prim_socserv;3a_prim_multi;3a_prim_other;3a_prim_no_unknown;3a_tot_prod;3a_tot_prot;3a_tot_biodiv;3a_tot_socserv;3a_tot_other;3b_protected;3b_forMngt;3b_mngtProt;4a_priv_own;4a_individ;4a_bus_inst_fo;4a_indigenous_fo;4a_pub_own;4a_fo_unknown;4b_pub_admin;4b_individuals;4b_bus_inst_mr;4b_indigenous_mr;4b_unknown;5c_y_n;6a_policies_national;6a_policies_sub_national;6a_legislation_national;6a_legislation_sub_national;6a_platform_national;6a_platform_sub_national;6a_traceability_national;6a_traceability_sub_national;6b_pfe_y_n;6b_pfe_area;7b_phd_tot;7b_phd_fem;7b_phd_male;7b_msc_tot;7b_msc_fem;7b_msc_male;7b_ba_tot;7b_ba_fem;7b_ba_male;7b_tech_tot;7b_tech_fem;7b_tech_male;7b_total_tot;7b_total_fem;7b_total_male;7a_employment_tot;7a_employment_fem;7a_employment_male;7a_emp_forestry_tot;7a_emp_forestry_fem;7a_emp_forestry_male;7a_emp_logging_tot;7a_emp_logging_fem;7a_emp_logging_male;7a_emp_nwfp_tot;7a_emp_nwfp_fem;7a_emp_nwfp_male;7a_emp_support_tot;7a_emp_support_fem;7a_emp_support_male
Africa;AGO;;Angola;1990;0;0;100;0;79262.78;29620.59;124670;78302.22;960.56;960.56;0;0;;0;0;31.17;0;;;;;;35.54;38.2;254.8;254.8;;0;2782.86;244.75;244.75;0;3027.84;;;;;;;;;;;;;0;;;;;;;0;0;30.3;6.13;2.6;14.4;2.88;1.2;;;;2422;1862;;;;;74978.78;2422;1862;;;;1862;0;0;0;0;0;0;79262.78;0;78302.22;0;0;0;;no;yes;no;yes;no;yes;no;yes;no;yes;1862;0;0;0;0;0;0;10;3;7;52;2;50;62;5;57;;;;;;;;;;;;;;;
Africa;AGO;;Angola;2000;0;0;100;0;77708.61;29039.79;124670;76766.88;941.73;941.73;0;0;;0;0;31.17;0;;;;;;35.54;38.2;254.8;254.8;;0;2728.29;239.95;239.95;0;2968.47;;;;;;;;;;;;;0;;;;;;;0;0;30.3;6.13;2.6;14.4;2.88;1.2;;;;2369;1862;;;;;73477.61;2369;1862;;;;1862;0;0;0;0;0;0;77708.61;0;76766.88;0;0;0;;no;yes;no;yes;no;yes;no;yes;no;yes;1862;0;0;0;2;0;2;0;0;0;0;0;0;2;0;2;;;;;;;;;;;;;;;
Africa;AGO;;Angola;2010;0;0;100;0;72158;26965.52;124670;71283.53;874.46;874.46;0;0;;0;0;31.17;0;;;;;;35.54;38.2;254.8;254.8;;0;2533.42;222.81;222.81;0;2756.44;;;;;;;;;;;;;0;;;;;;;0;0;30.3;6.13;2.6;14.4;2.88;1.2;;;;2317;1862;;;;;67979;2317;1862;;;;1862;0;0;0;0;0;0;72158;0;71283.53;0;0;0;;no;yes;no;yes;no;yes;no;yes;no;yes;1862;0;0;0;3;0;3;0;0;0;41;5;36;44;5;39;;;;;;;;;;;;;;;
Africa;AGO;;Angola;2015;0;0;100;0;69382.69;25928.38;124670;68541.86;840.83;840.83;0;0;26743;0;0;31.17;0;;;;;;35.54;38.2;254.8;254.8;;0;2435.98;214.24;214.24;0;2650.42;;;;;;;;;;;;;0;;;;;;;0;0;30.3;6.13;2.6;14.4;2.88;1.2;;;;2291;1862;;;;;65229.69;2291;1862;;;;1862;0;0;0;0;0;0;69382.69;0;68541.86;0;0;0;;no;yes;no;yes;no;yes;no;yes;no;yes;1862;0;0;0;1;0;1;18;5;13;20;2;18;39;7;42;;;;;;;;;;;;;;;
Africa;AGO;;Angola;2020;0;0;100;0;66607.38;24891.24;124670;65800.19;807.2;807.2;0;0;26743;0;0;31.17;0;;;;;;35.54;38.2;254.8;254.8;;0;2338.54;205.67;205.67;0;2544.4;;;;;;;;;;;;;0;;;;;;;0;0;30.3;6.13;2.6;14.4;2.88;1.2;;;;2289.8;1862;;;;;62455.58;2289.8;1862;;;;1862;0;0;;;;;;;;;;;;no;yes;no;yes;no;yes;no;yes;no;yes;1862;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
North and Central America;AIA;Desk study;Anguilla;1990;0;0;100;0;5.5;0;9;;;;;;0;;;0.09;0;;;;;;;123;;;;;;;;;0.68;;;;;;;;;;;;;0;;;;;;;0;0;210;59;;98.7;27.73;;;;;;;;;;;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
North and Central America;AIA;Desk study;Anguilla;2000;0;0;100;0;5.5;0;9;;;;;;0;;;0.09;0;;;;;;;123;;;;;;;;;0.68;;;;;;;;;;;;;0;;;;;;;0;0;210;59;;98.7;27.73;;;;;;;;;;;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
North and Central America;AIA;Desk study;Anguilla;2010;0;0;100;0;5.5;0;9;;;;;;0;;;0.09;0;;;;;;;123;;;;;;;;;0.68;;;;;;;;;;;;;0;;;;;;;0;0;210;59;;98.7;27.73;;;;;;;;;;;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
North and Central America;AIA;Desk study;Anguilla;2015;0;0;100;0;5.5;0;9;;;;;;0;;;0.09;0;;;;;;;123;;;;;;;;;0.68;;;;;;;;;;;;;0;;;;;;;0;0;210;59;;98.7;27.73;;;;;;;;;;;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
North and Central America;AIA;Desk study;Anguilla;2020;0;0;100;0;5.5;0;9;;;;;;0;;;0.09;0;;;;;;;123;;;;;;;;;0.68;;;;;;;;;;;;;0;;;;;;;0;0;210;59;;98.7;27.73;;;;;;;;;;;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europe;ALB;Desk study;Albania;1990;0;40;0;60;788.8;256;2740;;;;;;84.8;;0;0;0;;;;;;;95.4;;;;;;;;;75.25;;37.77;15.07;10.37;3.93;;;;3.54;4.57;;;75.25;;;;;;;0;75.25;;;;;;;;;;685;86.9;16.9;;;;0;;;;;;103.7;;;0;0;0;0;788.8;0;;;;;;;yes;yes;yes;yes;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europe;ALB;Desk study;Albania;2000;0;40;0;60;769.3;255;2740;;;;;;84.8;;0;0;0;;;;;;;98.56;;;;;;;;;75.82;;37.93;14.35;11.37;3.96;;;;3.81;4.41;;;75.83;;;;;;;0;75.83;;;;;;;;;;620;96.8;52.4;;;;0.1;;;;;;149.2;;;6.8;0;0;0;762.5;0;;;;;;;yes;yes;yes;yes;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europe;ALB;Desk study;Albania;2010;0;40;0;60;782.07;260.69;2740;711.68;70.39;70.39;;0;84.8;;0;0;0;;;;29.12;;;97.82;;;;;;;;;76.5;;37.88;14.4;10.96;3.95;;;;3.57;4.24;;1.5;76.5;;;;;;;0;76.5;;;;;;;;;;614.2;131.1;31;;;;5.77;;;;;;162.1;776.3;;20.57;0;0;0;761.5;0;;;;;;;yes;yes;yes;yes;;;;;yes;776.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europe;ALB;Desk study;Albania;2015;0;40;0;60;789.19;263.06;2740;;;;;;84.8;;0;0;0;;;;25.32;;;70.01;;;;;;;;;55.25;;24.5;11;6.54;2.32;2.09;1.98;0.07;2.81;2.87;1.07;0;55.25;;;;;;;0;55.25;;;;;;;;;;629;130;31;;;;-0.81;;;;;;;;;21.62;0;0;0;767.57;0;;;;;;;yes;yes;yes;yes;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europe;ALB;Desk study;Albania;2020;0;40;0;60;788.9;262.97;2740;;;;;;84.8;;0;0;0;;;;;;;69.63;;;;;;;;;54.93;;;;;;;;;;;;;0;;;;;;;0;0;;;;;;;;;;628;130;31;;;;-0.1;;;;;;;;;;;;;;;;;;;;;yes;yes;yes;yes;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europe;AND;;Andorra;1990;0;100;0;0;16;0;47;16;0;0;0;0;0;;0;0;0;0;;;;;220;220;;0;;;3.52;0;0;0;3.52;0;;;;;;;;;;;;0;;;;;;;0;0;154;30.8;;72.38;14.48;;;;;;;;;;;16;;;;;;;;;;;;;;;;;;;;no;;yes;;;;yes;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europe;AND;;Andorra;2000;0;100;0;0;16;0;47;16;0;0;0;0;0;;0;0;0;0;;;;;220;220;;0;;;3.52;0;0;0;3.52;0;;;;;;;;;;;;0;;;;;;;0;0;154;30.8;;72.38;14.48;;;;;;;;;;;16;;;;;;;;;;;;;;;;;;;;no;;yes;;;;yes;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europe;AND;;Andorra;2010;0;100;0;0;16;0;47;16;0;0;0;0;0;;0;0;0;0;;;;;220;220;;0;;;3.52;0;0;0;3.52;0;;;;;;;;;;;;0;;;;;;;0;0;154;30.8;;72.38;14.48;;;;;;;;;;;16;;;;;;;;;0.1;0;0;0;15.9;0;15.9;0;0;0;;no;;yes;;;;yes;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europe;AND;;Andorra;2015;0;100;0;0;16;0;47;16;0;0;0;0;0;;0;0;0;0;;;;;220;220;;0;;;3.52;0;0;0;3.52;0;;;;;;;;;;;;0;;;;;;;0;0;154;30.8;;72.38;14.48;;;;;0.5;7;6.7;1.37;;;0.43;;;;;;;;;;;;;;;;;;;;no;;yes;;;;yes;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europe;AND;;Andorra;2020;0;100;0;0;16;0;47;16;0;0;0;0;0;;0;0;0;0;;;;;220;220;;0;;;3.52;0;0;0;3.52;0;;;;;;;;;;;;0;;;;;;;0;0;154;30.8;;72.38;14.48;;;;;;;;;;;16;;;;;;;;;;;;;;;;;;;;no;;yes;;;;yes;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asia;ARE;Desk study;United Arab Emirates;1990;0;0;100;0;245;4.1;7102;;;;;;0;;0;3.8;0;;;;;;;48.9;;;;;;;;;11.98;;;;;;;;;;;;;0;;;;;;;0;0;74.33;31.96;14.9;34.94;15.02;6.98;2.08;;;0;0;0;0;245;0;0;;;;;;;;;0;0;0;0;245;0;245;0;0;0;;no;;;;;;;;;yes;245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asia;ARE;Desk study;United Arab Emirates;2000;0;0;100;0;309.43;4.1;7102;;;;;;0;;0;4;0;;;;;;;49.03;;;;;;;;;15.17;;;;;;;;;;;;;0;;;;;;;0;0;74.35;31.97;14.9;34.94;15.03;7;2.1;;;0;0;0;0;309.43;0;0;;;;;;;;;0;0;0;0;309.43;0;309.43;0;0;0;;no;;;;;;;;;yes;310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asia;ARE;Desk study;United Arab Emirates;2010;0;0;100;0;317.3;4.35;7102;;;;;;0;;0;4.3;0;;;;;;;48.91;;;;;;;;;15.52;;;;;;;;;;;;;0;;;;;;;0;0;74.31;31.96;14.88;34.92;15.03;7;2.11;;;0;0;0;0;317.3;0;0;;;;;;;;;0;0;0;0;317.3;0;371.3;0;0;0;;no;;;;;;;;;yes;317.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asia;ARE;Desk study;United Arab Emirates;2015;0;0;100;0;317.3;4.6;7102;;;;;;0;;0;4.3;0;;;;;;;49.8;;;;;;;;;15.8;;;;;;;;;;;;;0;;;;;;;0;0;74.43;31.43;14.63;34.97;15.07;7.01;2.11;;;0;0;0;0;317.3;0;0;;;;;;;;;0;0;0;0;317.3;0;317.3;0;0;0;;no;;;;;;;;;yes;317.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asia;ARE;Desk study;United Arab Emirates;2020;0;0;100;0;317.3;4.85;7102;;;;;;0;;0;4.3;0;;;;;;;49.8;;;;;;;;;15.8;;;;;;;;;;;;;0;;;;;;;0;0;74.43;31.43;14.63;34.97;15.07;7.01;2.11;;;0;0;0;0;317.3;0;0;;;;;;;;;;;;;;;;;;;;no;;;;;;;;;yes;317.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
South America;ARG;;Argentina;1990;0;8;83;9;35204;63580;273669;34438;766;766;751;0;;;;0;;;;;;;74.79;84.38;515.5;515.5;12.76;;2575.62;394.87;394.87;0;2970.49;811.28;658.57;405.41;262.38;156.26;95.39;47.4;54.05;55.71;45.55;44.98;749.91;2575.61;166;111;74;12;5;29;397;2972.61;172.98;44.85;;82.65;21.44;;3.67;45.42;30;766;;;;;;34438;766;;;;;1566;;;767;;;;2;34435;;;;;;no;yes;yes;yes;yes;yes;yes;yes;no;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
South America;ARG;;Argentina;2000;0;8;83;9;33378;63950;273669;32302;1076;1076;1054;0;;;;0;;;;;;;77.47;91.59;515.5;515.5;12.68;;2502.44;554.68;554.68;0;3057.12;810.89;658.57;405.41;238.1;141.73;86.52;45.63;49.52;50.53;42.27;41.52;742.64;2502.44;233;156;104;17;7;41;558;3060.44;177.07;45.65;;84.58;21.82;;3.75;46.08;30;1076;;;;;;32302;1076;;;;;1738;;;1077;;;;3;32298;;;;;;no;yes;yes;yes;yes;yes;yes;yes;no;yes;;46;;;570;;;835;;;;;;;;;10;;;;;;;;;;;;;;
South America;ARG;;Argentina;2010;0;8;83;9;30214;63440;273669;29027;1187;1187;1163;0;;;;0;;;;;;;81.7;98.74;515.5;515.5;12.56;;2371.51;611.9;611.9;0;2983.41;796.81;658.57;405.41;206.76;123;75.09;44.09;43.81;43.86;40.01;36.7;694.2;2371.5;257;172;114;18;8;44;613;2984.5;182.12;46.67;;86.96;22.29;;3.85;46.9;30;1195.92;;208.08;0;258.68;409.7;28141.62;1328.83;;323.84;58.46;624.99;1747;;;1189;;;;3;29022;;;;;;no;yes;yes;yes;yes;yes;yes;yes;no;yes;36225;725;;;1201;;;1158;;;;;;;;;12;;;;;;;;;;;;;;
South America;ARG;;Argentina;2015;0;8;83;9;29097;63193;273669;27812;1285;1285;1259;0;;;;0;;;;30.34;;;83.36;102.44;515.5;515.5;12.51;;2318.41;662.42;662.42;0;2980.83;790.54;655.68;402.27;195.86;116.49;71.11;43.8;41.88;41.53;39.27;34.91;675.61;2318.41;278;186;124;20;9;48;665;2983.41;184.34;47.1;;88.01;22.5;;3.89;47.26;30;1299.22;;111.65;53.48;2810.9;371.62;24450.13;1440.83;;2415.63;555.83;3171.82;1856;;;1289;;;;4;27804;;;;;;no;yes;yes;yes;yes;yes;yes;yes;no;yes;42554;1107;;;1431;;;1515;;;;;;;;;9;;;;;;;;;;;;;;
South America;ARG;;Argentina;2020;0;8;83;9;28573;62964;273669;27137;1436;1436;1407;0;;;;0;;;;34.47;;;83.98;105.67;515.5;515.5;12.43;;2278.97;740.26;740.26;0;3019.23;782.64;648.44;394.4;190.1;113.04;69.01;43.74;40.87;40.31;38.19;34.02;666.83;2278.95;311;208;138;22;10;54;743;3021.95;185.74;47.35;;88.65;22.61;;3.89;47.49;30;1444.93;;982.46;3.2;3234.63;3531.03;19376.75;2957.17;;2646.03;2845.52;6700.87;1928;;;;;;;;;;;;;;no;yes;yes;yes;yes;yes;yes;yes;no;yes;43233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asia;ARM;;Armenia;1990;0;39;0;61;334.73;41.18;2847;321;13.73;0;0;13.73;17;;0;0;0;;;;;;;125.5;;;19.43;;;;;;42.01;0.8;20.81;12.62;6.04;0.61;0.45;0.16;0.31;0.24;0.1;0.14;0.51;41.99;;;;;;;0;41.99;82.69;19.04;;38.9;8.96;;28.18;36.84;30;0;205.7;0;71.6;0;57.4;0.03;;;;;;;;;0;0;0;0;334.73;0;334.73;0;0;0;;;yes;no;yes;no;no;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asia;ARM;;Armenia;2000;0;39;0;61;332.64;52.26;2847;322;10.64;0;0;10.64;17;;0;0;0;;;;;;;126.62;;;15.31;;;;;;42.12;0.8;20.62;11.74;6.28;0.6;0.45;0.17;0.29;0.18;0.23;0.18;0.37;41.11;;;;;;;0;41.11;81.38;18.74;;38.29;8.8;;28.17;36.82;30;0;205;0;70.4;0;57.2;0.04;;;;;;;;;0;0;0;0;332.64;0;332.64;0;0;0;;;yes;no;yes;no;no;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asia;ARM;;Armenia;2010;0;39;0;61;330.56;63.34;2847;310;20.56;0;0;20.56;17;;0;0;0;;;;;;;121.67;;;12.63;;;;;;40.22;0.8;20.52;11.3;6.4;0.6;0.45;0.17;0.28;0.15;0.3;0.2;0.3;40.67;;;;;;;0;40.67;80.06;18.46;;37.7;8.67;;28.16;36.8;30;0;133;0;0;0;130.4;67.16;;;;;;;;;0;0;0;0;330.56;0;330.56;0;0;0;;;yes;no;yes;no;no;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asia;ARM;;Armenia;2015;0;39;0;61;329.52;68.88;2847;310;19.52;0;0;19.52;17;;0;0;0;;;;;;;123.42;;;11.61;;;;;;40.67;0.8;20.52;11.3;6.4;0.6;0.45;0.17;0.28;0.15;0.3;0.2;0.3;40.67;;;;;;;0;40.67;80.72;18.58;;38.01;8.83;;28.16;36.81;30;;;;;;;329.52;;;;;;;;;0;0;0;0;329.52;0;329.52;0;0;0;;;yes;no;yes;no;no;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asia;ARM;;Armenia;2020;0;39;0;61;328.47;74.43;2847;310;18.47;0;0;18.47;17;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;0;;;;;;;;;30;;;;;;;328.47;;;;;;;;;;;;;;;;;;;;;yes;no;yes;no;no;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oceania;ASM;;American Samoa;1990;0;0;100;0;18.07;0;20;18.07;0;0;0;0;7.9;0;;0.06;0;;;;;;101.8;101.8;;0;;;1.84;0;0;0;1.84;;;;;;;;;;;;;0;;;;;;;0;0;109.57;26.3;;51.5;12.36;;;;;0;0;0.06;0;2.51;0;15.5;0;0;2.57;2.51;0;2.57;2.57;2.57;18.07;0.09;0;17.98;0;0;0;0;0;0;;no;yes;yes;yes;yes;yes;yes;no;no;yes;2.57;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;;;;;;;;;;;;;;;
Oceania;ASM;;American Samoa;2000;0;0;100;0;17.73;0;20;17.73;0;0;0;0;5.3;0;;0.05;0;;;;;;105.7;105.7;;0;;;1.87;0;0;0;1.87;;0.29;0.22;0.21;0.15;0.14;0.11;0.07;0.06;0.06;0.06;0.52;1.89;0;0;0;0;0;0;0;1.89;125.13;30.03;;58.81;14.11;;;;;0;0;0.06;0;2.51;0;15.16;0;0;2.57;2.51;0;2.57;2.57;2.57;17.73;0.09;0;17.64;0;0;0;0;0;0;;no;yes;yes;yes;yes;yes;yes;no;no;yes;2.57;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;;;;;;;;;;;;;;;
